Metric.Name,Description,Data.Location
PctImp2006Ws,Mean imperviousness of anthropogenic surfaces (NLCD 2006) within watershed,"ImperviousSurfaces2006_(RegionID).csv, ImperviousSurfaces2006_(StateID).csv"
PctImp2006CatRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2006) within catchment and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2006RipBuf100_(RegionID).csv, ImperviousSurfaces2006RipBuf100_(StateID).csv"
PctImp2006WsRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2006) within watershed and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2006RipBuf100_(RegionID).csv, ImperviousSurfaces2006RipBuf100_(StateID).csv"
PctImp2001Cat,Mean imperviousness of anthropogenic surfaces (NLCD 2001) within catchment ,"ImperviousSurfaces2001_(RegionID).csv, ImperviousSurfaces2001_(StateID).csv"
PctImp2001Ws,Mean imperviousness of anthropogenic surfaces (NLCD 2001) within watershed,"ImperviousSurfaces2001_(RegionID).csv, ImperviousSurfaces2001_(StateID).csv"
PctImp2001CatRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2001) within catchment and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2001RipBuf100_(RegionID).csv, ImperviousSurfaces2001RipBuf100_(StateID).csv"
PctImp2001WsRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2001) within watershed and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2001RipBuf100_(RegionID).csv, ImperviousSurfaces2001RipBuf100_(StateID).csv"
WtDepCat,Mean seasonal water table depth (cm) of soils (STATSGO) within catchment ,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
WtDepWs,Mean seasonal water table depth (cm) of soils (STATSGO) within watershed,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
OmCat,Mean organic matter content (% by weight) of soils (STATSGO) within catchment ,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
OmWs,Mean organic matter content (% by weight) of soils (STATSGO) within watershed,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
PermCat,Mean permeability (cm/hour) of soils (STATSGO) within catchment ,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
PermWs,Mean permeability (cm/hour) of soils (STATSGO) within watershed,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
RckDepCat,Mean depth (cm) to bedrock of soils (STATSGO) within catchment ,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
RckDepWs,Mean depth (cm) to bedrock of soils (STATSGO) within watershed,"STATSGO_Set2_(RegionID).csv, STATSGO_Set2_(StateID).csv"
ClayCat,Mean % clay content of soils (STATSGO) within catchment ,"STATSGO_Set1_(RegionID).csv, STATSGO_Set1_(StateID).csv"
ClayWs,Mean % clay content of soils (STATSGO) within watershed,"STATSGO_Set1_(RegionID).csv, STATSGO_Set1_(StateID).csv"
SandCat,Mean % sand content of soils (STATSGO) within catchment ,"STATSGO_Set1_(RegionID).csv, STATSGO_Set1_(StateID).csv"
SandWs,Mean % sand content of soils (STATSGO) within watershed,"STATSGO_Set1_(RegionID).csv, STATSGO_Set1_(StateID).csv"
DamDensCat,Density of georeferenced dams within catchment (dams/ square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
DamDensWs,Density of georeferenced dams within watershed (dams/ square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
DamNrmStorCat,Normal (most common) volume of all reservoirs (NORM_STORA in NID) per unit area of catchment (cubic meters/square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
DamNrmStorWs,Normal (most common) volume of all reservoirs (NORM_STORA in NID) per unit area of watershed (cubic meters/square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
DamNIDStorCat,Total possible volume of all reservoirs (NID_STORA in NID) per unit area of catchment (cubic meters/square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
DamNIDStorWs,Total possible volume of all reservoirs (NID_STORA in NID) per unit area of watershed (cubic meters/square km) based on the National Inventory of Dams (https://catalog.data.gov/dataset/national-inventory-of-dams),"Dams_(RegionID).csv, Dams_(StateID).csv"
PopDen2010Cat,Mean population density (people/square km) within catchment,"USCensus2010_(RegionID).csv, USCensus2010_(StateID).csv"
PopDen2010Ws,Mean population density (people/square km) within watershed,"USCensus2010_(RegionID).csv, USCensus2010_(StateID).csv"
PopDen2010CatRp100,Mean population density (people/square km) within catchment and within a 100-m buffer of NHD stream lines,"USCensus2010RipBuf100_(RegionID).csv, USCensus2010RipBuf100_(StateID).csv"
PopDen2010WsRp100,Mean population density (people/square km) within watershed and within a 100-m buffer of NHD stream lines,"USCensus2010RipBuf100_(RegionID).csv, USCensus2010RipBuf100_(StateID).csv"
HUDen2010Cat,Mean housing unit density (housing units/square km) within catchment,"USCensus2010_(RegionID).csv, USCensus2010_(StateID).csv"
HUDen2010Ws,Mean housing unit density (housing units/square km) within watershed,"USCensus2010_(RegionID).csv, USCensus2010_(StateID).csv"
NPDESDensCat,Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within catchment (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
NPDESDensWs,Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within watershed (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
NPDESDensCatRp100,Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within catchment and within a 100-m buffer of NHD stream lines (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
NPDESDensWsRp100,Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within watershed and within 100-m buffer of NHD stream lines (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
TRIDensCat,Density of TRI (Toxic Release Inventory) sites within catchment (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
TRIDensWs,Density of TRI (Toxic Release Inventory) sites within watershed (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
TRIDensCatRp100,Density of TRI (Toxic Release Inventory) sites within 100-m buffer of NHD stream lines in the catchment (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
TRIDensWsRp100,Density of TRI (Toxic Release Inventory) sites within watershed and within a 100-m buffer of NHD stream lines (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
SuperfundDensCat,Density of Superfund sites within catchment (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
SuperfundDensWs,Density of Superfund sites within watershed (sites/square km),"EPA_FRS_(RegionID).csv, EPA_FRS_(StateID).csv"
SuperfundDensCatRp100,Density of Superfund sites  within 100-m buffer of NHD stream lines within the catchment (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
SuperfundDensWsRp100,Density of Superfund sites within watershed and within a 100-m buffer of NHD stream lines (sites/square km),"EPA_FRSRipBuf100_(RegionID).csv, EPA_FRSRipBuf100_(StateID).csv"
MineDensCat,Density of mine sites within catchment (mines/square km),"Mines_(RegionID).csv, Mines_(StateID).csv"
MineDensWs,Density of mine sites within watershed (mines/square km),"Mines_(RegionID).csv, Mines_(StateID).csv"
MineDensCatRp100,Density of mine sites within catchment and within 100-m buffer of NHD stream lines (mines/square km),"MinesRipBuf100_(RegionID).csv, MinesRipBuf100_(StateID).csv"
MineDensWsRp100,Density of mine sites within watershed and within 100-m buffer of NHD stream lines (mines/square km),"MinesRipBuf100_(RegionID).csv, MinesRipBuf100_(StateID).csv"
PctCarbResidCat,% of catchment area classified as lithology type: carbonate residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctCarbResidWs,% of watershed area classified as lithology type: carbonate residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctNonCarbResidCat,% of catchment area classified as lithology type: non-carbonate residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctNonCarbResidWs,% of watershed area classified as lithology type: non-carbonate residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctAlkIntruVolCat,% of catchment area classified as lithology type: alkaline intrusive volcanic rock,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctAlkIntruVolWs,% of watershed area classified as lithology type: alkaline intrusive volcanic rock,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctSilicicCat,% of catchment area classified as lithology type: silicic residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctSilicicWs,% of watershed area classified as lithology type: silicic residual material,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctExtruVolCat,% of catchment area classified as lithology type: extrusive volcanic rock,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctExtruVolWs,% of watershed area classified as lithology type: extrusive volcanic rock,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctColluvSedCat,% of catchment area classified as lithology type: colluvial sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctColluvSedWs,% of watershed area classified as lithology type: colluvial sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilClayCat,"% of catchment area classified as lithology type: glacial till, clayey","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilClayWs,"% of watershed area classified as lithology type: glacial till, clayey","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilLoamCat,"% of catchment area classified as lithology type: glacial till, loamy","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilLoamWs,"% of watershed area classified as lithology type: glacial till, loamy","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilCrsCat,"% of catchment area classified as lithology type: glacial till, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacTilCrsWs,"% of watershed area classified as lithology type: glacial till, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacLakeCrsCat,"% of catchment area classified as lithology type: glacial outwash and glacial lake sediment, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacLakeCrsWs,"% of watershed area classified as lithology type: glacial outwash and glacial lake sediment, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacLakeFineCat,"% of catchment area classified as lithology type: glacial lake sediment, fine-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctGlacLakeFineWs,"% of watershed area classified as lithology type: glacial lake sediment, fine-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctHydricCat,"% of catchment area classified as lithology type: hydric, peat and muck","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctHydricWs,"% of watershed area classified as lithology type: hydric, peat and muck","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctEolCrsCat,"% of catchment area classified as lithology type: eolian sediment, coarse-textured (sand dunes)","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctEolCrsWs,"% of watershed area classified as lithology type: eolian sediment, coarse-textured (sand dunes)","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctEolFineCat,"% of catchment area classified as lithology type: eolian sediment, fine-textured (glacial loess)","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctEolFineWs,"% of watershed area classified as lithology type: eolian sediment, fine-textured (glacial loess)","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctSalLakeCat,% of catchment area classified as lithology type: saline like sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctSalLakeWs,% of watershed area classified as lithology type: saline like sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctAlluvCoastCat,% of catchment area classified as lithology type: alluvium and fine-textured coastal zone sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctAlluvCoastWs,% of watershed area classified as lithology type: alluvium and fine-textured coastal zone sediment,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctCoastCrsCat,"% of catchment area classified as lithology type: coastal zone sediment, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctCoastCrsWs,"% of watershed area classified as lithology type: coastal zone sediment, coarse-textured","Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctWaterCat,% of catchment area classified as lithology type: water,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
PctWaterWs,% of watershed area classified as lithology type: water,"Lithology_(RegionID).csv, Lithology_(StateID).csv"
RdDensCat,Density of roads (2010 Census Tiger Lines) within catchment (km/square km),"RoadDensity_(RegionID).csv, RoadDensity_(StateID).csv"
RdDensWs,Density of roads (2010 Census Tiger Lines) within watershed (km/square km),"RoadDensity_(RegionID).csv, RoadDensity_(StateID).csv"
