site_name,year,long_name,Source,lat,lon,coord_datum,alt,alt_datum,site_type,COMID,VPU,ndays,nyears,ann_GPP_C,ann_ER_C,PAR_sum,Stream_PAR_sum,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,dvqcoefs.c,Azimuth,tree_height,Width,MOD_ann_NPP,dvqcoefs.f,dvqcoefs.a,dvqcoefs.b,dvqcoefs.k,dvqcoefs.m,struct.canal_flag,struct.dam_flag,struct.npdes_flag,slope_calc,HYRIV_ID,HydroATLAS_near_dist_m,HydroATLAS_dis_m3_pyr,HydroATLAS_run_mm_cyr,HydroATLAS_ria_ha_csu,HydroATLAS_ele_mt_cav,HydroATLAS_ele_mt_cmn,HydroATLAS_ele_mt_cmx,HydroATLAS_slp_dg_cav,HydroATLAS_slp_dg_uav,HydroATLAS_sgr_dk_rav,HydroATLAS_tmp_dc_cyr,HydroATLAS_tmp_dc_uyr,HydroATLAS_tmp_dc_c01,HydroATLAS_tmp_dc_c02,HydroATLAS_tmp_dc_c03,HydroATLAS_tmp_dc_c04,HydroATLAS_tmp_dc_c05,HydroATLAS_tmp_dc_c06,HydroATLAS_tmp_dc_c07,HydroATLAS_tmp_dc_c08,HydroATLAS_tmp_dc_c09,HydroATLAS_tmp_dc_c10,HydroATLAS_tmp_dc_c11,HydroATLAS_tmp_dc_c12,HydroATLAS_pre_mm_cyr,HydroATLAS_pre_mm_uyr,HydroATLAS_pre_mm_c01,HydroATLAS_pre_mm_c02,HydroATLAS_pre_mm_c03,HydroATLAS_pre_mm_c04,HydroATLAS_pre_mm_c05,HydroATLAS_pre_mm_c06,HydroATLAS_pre_mm_c07,HydroATLAS_pre_mm_c08,HydroATLAS_pre_mm_c09,HydroATLAS_pre_mm_c10,HydroATLAS_pre_mm_c11,HydroATLAS_pre_mm_c12,HydroATLAS_ari_ix_cav,HydroATLAS_ari_ix_uav,HydroATLAS_glc_cl_cmj,HydroATLAS_wet_pc_cg2,HydroATLAS_wet_pc_ug2,HydroATLAS_for_pc_cse,HydroATLAS_for_pc_use,HydroATLAS_crp_pc_cse,HydroATLAS_crp_pc_use,HydroATLAS_ppd_pk_cav,HydroATLAS_ppd_pk_uav,HydroATLAS_rdd_mk_cav,HydroATLAS_rdd_mk_uav,HydroATLAS_hdi_ix_cav,HydroATLAS_urb_pc_cse,HydroATLAS_urb_pc_use,NHD_near_dist_m,IGBP_LC_Type1Class2018,IGBP_LU_category,US_state,region,reach_proportion,NHD_STREAMORDE,NHD_HYDROSEQ,NHD_STARTFLAG,NHD_REACHCODE,NHD_AREASQKM,NHD_TOTDASQKM,NHD_LENGTHKM,NHD_SLOPE,NHD_SLOPELENKM,NHD_TIDAL,NHD_MAXELEVSMO,NHD_MINELEVSMO,NHD_AREASQKM_corr,NHD_TOTDASQKM_corr,areal_corr_factor,ElevWs,PrecipWs,TminWs,TmaxWs,TmeanWs,RunoffWs,PctImp2006Ws,PctImp2008Ws,PctImp2011Ws,PctImp2001Ws,PctImp2013Ws,PctImp2019Ws,PctImp2016Ws,PctImp2004Ws,PctOw2011Ws,PctIce2011Ws,PctUrbOp2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbHi2011Ws,PctBl2011Ws,PctDecid2011Ws,PctConif2011Ws,PctMxFst2011Ws,PctShrb2011Ws,PctGrs2011Ws,PctHay2011Ws,PctCrop2011Ws,PctWdWet2011Ws,PctHbWet2011Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,HUDen2010Ws,PopDen2010Ws,SN_2008Ws,NO3_2008Ws,InorgNWetDep_2008Ws,NH4_2008Ws,DamNIDStorWs,DamNrmStorWs,NABD_NIDStorWs,NABD_NrmStorWs,DamDensWs,SuperfundDensWs,NPDESDensWs,TRIDensWs,RdDensWs,NABD_DensWs,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs,CBNFWs,FertWs,ManureWs,WtDepWs,OmWs,PermWs,RckDepWs,BFIWs,HydrlCondWs,NWs,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,P2O5Ws,SWs,SiO2Ws,precip_runoff_ratio
nwis_01645762,2015,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",USGS (Powell Center),38.90888916,-77.3382627,"NAD83",275.16,"NAVD88",ST,4509040,02,296,1,41.102290908458805,-147.63357817256568,12.307280240556,2.748058240034171,13.18,0.32,-0.08,-0.02,1.34,208.00979309050368,0.791,0.07,0.41,0.23,0.16,0.87,77.34901961639808,0.327,33.72,0.28,0,-0.02,1.15,176.66405278822373,0.193,2.9,0.43,0.14,-0.18,1.35,200.212393641939,0.846,0.526868016590369,43.53706661812884,27,4.23672,755.7,0.435943218553952,5.1150353265449,0.174056781446048,0.371064602379465,0.39,95,0,95,0.004,70596675,169.578842,0.239,439,1.63,122,88,149,17,17,44,124,124,-1,15,64,119,172,218,243,235,197,133,77,22,1020,1020,70,70,85,80,98,91,92,100,91,79,85,79,90,90,6,0,0,100,100,1,1,542.597,542.611,8011,8010,950,74,74,19.00945225,8,grassland,Virginia,VA,0.793203,2,200068408,0,02070008000544,0.7731,7.1937,0.828,0.00938405,0.828,0,8935,8158,0.61323,7.03383,0.9777763876725468,120.1815,1063.7573440571498,-4.221856526201926,18.586830583961717,12.81298189164244,404.1376,7.17,7.3,7.33,6.43,7.42,7.52,7.46,6.63,0.04,0,35.27,13.85,1.44,0.03,0.14,32.89,0.04,12.01,0.31,0.29,0.99,0,2.71,0,0.04,0,35.17,13.94,1.56,0.04,0.14,32.73,0.05,12.06,0.2,0.41,0.95,0,2.71,0,173.0592,539.5063,627.7465,9.765,4.3816,2.8084,10288.002,10288.002,10288.002,10288.002,0.139,0,0,0,6.2544,0.139,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.5119,0.0155,162.4652,0.5145,5.1886,149.0461,26.551,0.1866,0.0366,13.7925,2.1932,6.4364,2.216,2.4382,1.8546,0.1331,0.0422,62.7646,2.6321662326325237
nwis_01645762,2016,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",USGS (Powell Center),38.90888916,-77.3382627,"NAD83",275.16,"NAVD88",ST,4509040,02,300,1,38.838369193915646,-156.38329316593186,12.489138975398399,2.8582761310495903,13.62,0.31,-0.03,-0.01,1.35,205.66517632696676,0.796,0.08,0.55,0.47,0.3,0.72,71.16633541191777,0.429,34.12,0.26,0.03,-0.01,1.13,181.64682470433146,0.235,2.76,0.42,0.2,-0.13,1.31,206.31605342496852,0.913,0.526868016590369,43.53706661812884,27,4.23672,755.7,0.435943218553952,5.1150353265449,0.174056781446048,0.371064602379465,0.39,95,0,95,0.004,70596675,169.578842,0.239,439,1.63,122,88,149,17,17,44,124,124,-1,15,64,119,172,218,243,235,197,133,77,22,1020,1020,70,70,85,80,98,91,92,100,91,79,85,79,90,90,6,0,0,100,100,1,1,542.597,542.611,8011,8010,950,74,74,19.00945225,8,grassland,Virginia,VA,0.793203,2,200068408,0,02070008000544,0.7731,7.1937,0.828,0.00938405,0.828,0,8935,8158,0.61323,7.03383,0.9777763876725468,120.1815,1063.7573440571498,-4.221856526201926,18.586830583961717,12.81298189164244,404.1376,7.17,7.3,7.33,6.43,7.42,7.52,7.46,6.63,0.04,0,35.27,13.85,1.44,0.03,0.14,32.89,0.04,12.01,0.31,0.29,0.99,0,2.71,0,0.04,0,35.17,13.94,1.56,0.04,0.14,32.73,0.05,12.06,0.2,0.41,0.95,0,2.71,0,173.0592,539.5063,627.7465,9.765,4.3816,2.8084,10288.002,10288.002,10288.002,10288.002,0.139,0,0,0,6.2544,0.139,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.5119,0.0155,162.4652,0.5145,5.1886,149.0461,26.551,0.1866,0.0366,13.7925,2.1932,6.4364,2.216,2.4382,1.8546,0.1331,0.0422,62.7646,2.6321662326325237
nwis_01646000,2013,"DIFFICULT RUN NEAR GREAT FALLS, VA",USGS (Powell Center),38.97594346,-77.24581439,"NAD83",150.94,"NAVD88",ST,4509202,02,298,1,86.03315275648762,-250.23580739740066,12.0355650867312,5.325958554800928,13.48,0.32,-0,-0.04,1.35,201.65027930514674,0.841,1.72,0.56,0.59,0.48,0.1,65.95575832160758,0.392,32.97,0.28,0.03,0,1.16,175.048174176633,0.137,2.69,0.43,0.1,-0.18,1.37,194.53527067400046,0.849,0.427872931548299,85.67040264764975,25,14.630400000000002,783.8,0.442801404179012,16.3977835179825,0.137198595820988,0.142527950026813,0.42,95,50,95,0.021132279,70595077,221.4694571,2.038,452,2.929,91,56,118,24,18,92,126,125,0,16,65,120,174,220,245,236,198,134,78,23,1019,1020,70,69,84,79,99,92,94,100,91,79,84,79,90,90,2,0,0,100,66,1,1,274.666,842.327,5429,6891,950,25,81,29.90587748,4,forested,Virginia,VA,0.101387,4,200023879,0,02070008000278,1.0782,150.8202,1.282,0.02495319,1.282,0,5264,2065,0.10932,149.85132,0.993575926832082,106.6927,1072.4700958469998,-4.227115726674607,18.700464628964355,12.976648866210894,404.1377,14.35,14.43,14.59,13.63,14.73,14.99,14.83,14.18,0.52,0,29.98,17.17,7.85,2.43,0.04,27.71,0.21,7.75,0.51,0.25,1.83,0,3.72,0.02,0.5,0,29.95,17.29,8.04,2.5,0.04,27.37,0.21,7.8,0.38,0.43,1.73,0,3.73,0.02,343.4134,843.2407,630.5302,9.7992,4.4032,2.8262,38152.6095,16769.9734,34161.5113,15318.2932,0.0663,0.0066,0.0066,0.0199,7.111,0.0464,0,98.65,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.8832,0.0268,157.106,0.5036,5.2744,149.5547,31.0713,0.3488,0.0532,13.685,2.2988,6.9248,2.2334,3.2924,1.8006,0.1335,0.0456,61.7116,2.653724450470718
nwis_01646000,2014,"DIFFICULT RUN NEAR GREAT FALLS, VA",USGS (Powell Center),38.97594346,-77.24581439,"NAD83",150.94,"NAVD88",ST,4509202,02,261,1,89.67429741706832,-223.09374181230373,12.2096261296296,5.822147341482024,12.73,0.34,-0.04,-0.06,1.38,202.86891197900863,0.788,2.06,0.43,0.54,0.48,0.24,122.7882762191531,0.177,33.45,0.28,0.01,0.01,1.14,173.80162740011357,0.115,2.76,0.46,0.15,-0.2,1.32,202.99484103505202,0.836,0.427872931548299,85.67040264764975,25,14.630400000000002,783.8,0.442801404179012,16.3977835179825,0.137198595820988,0.142527950026813,0.42,95,50,95,0.021132279,70595077,221.4694571,2.038,452,2.929,91,56,118,24,18,92,126,125,0,16,65,120,174,220,245,236,198,134,78,23,1019,1020,70,69,84,79,99,92,94,100,91,79,84,79,90,90,2,0,0,100,66,1,1,274.666,842.327,5429,6891,950,25,81,29.90587748,4,forested,Virginia,VA,0.101387,4,200023879,0,02070008000278,1.0782,150.8202,1.282,0.02495319,1.282,0,5264,2065,0.10932,149.85132,0.993575926832082,106.6927,1072.4700958469998,-4.227115726674607,18.700464628964355,12.976648866210894,404.1377,14.35,14.43,14.59,13.63,14.73,14.99,14.83,14.18,0.52,0,29.98,17.17,7.85,2.43,0.04,27.71,0.21,7.75,0.51,0.25,1.83,0,3.72,0.02,0.5,0,29.95,17.29,8.04,2.5,0.04,27.37,0.21,7.8,0.38,0.43,1.73,0,3.73,0.02,343.4134,843.2407,630.5302,9.7992,4.4032,2.8262,38152.6095,16769.9734,34161.5113,15318.2932,0.0663,0.0066,0.0066,0.0199,7.111,0.0464,0,98.65,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.8832,0.0268,157.106,0.5036,5.2744,149.5547,31.0713,0.3488,0.0532,13.685,2.2988,6.9248,2.2334,3.2924,1.8006,0.1335,0.0456,61.7116,2.653724450470718
nwis_01646000,2015,"DIFFICULT RUN NEAR GREAT FALLS, VA",USGS (Powell Center),38.97594346,-77.24581439,"NAD83",150.94,"NAVD88",ST,4509202,02,300,1,90.56008619925379,-254.55302901980585,12.3385902024168,5.551269286670036,13.63,0.33,-0.08,-0.03,1.34,206.14289771345142,0.825,1.91,0.51,0.5,0.37,0.4,108.65441400810171,0.271,33.8,0.28,0,-0.02,1.16,176.98651090056453,0.195,2.96,0.44,0.1,-0.21,1.34,195.80736964371695,0.868,0.427872931548299,85.67040264764975,25,14.630400000000002,783.8,0.442801404179012,16.3977835179825,0.137198595820988,0.142527950026813,0.42,95,50,95,0.021132279,70595077,221.4694571,2.038,452,2.929,91,56,118,24,18,92,126,125,0,16,65,120,174,220,245,236,198,134,78,23,1019,1020,70,69,84,79,99,92,94,100,91,79,84,79,90,90,2,0,0,100,66,1,1,274.666,842.327,5429,6891,950,25,81,29.90587748,4,forested,Virginia,VA,0.101387,4,200023879,0,02070008000278,1.0782,150.8202,1.282,0.02495319,1.282,0,5264,2065,0.10932,149.85132,0.993575926832082,106.6927,1072.4700958469998,-4.227115726674607,18.700464628964355,12.976648866210894,404.1377,14.35,14.43,14.59,13.63,14.73,14.99,14.83,14.18,0.52,0,29.98,17.17,7.85,2.43,0.04,27.71,0.21,7.75,0.51,0.25,1.83,0,3.72,0.02,0.5,0,29.95,17.29,8.04,2.5,0.04,27.37,0.21,7.8,0.38,0.43,1.73,0,3.73,0.02,343.4134,843.2407,630.5302,9.7992,4.4032,2.8262,38152.6095,16769.9734,34161.5113,15318.2932,0.0663,0.0066,0.0066,0.0199,7.111,0.0464,0,98.65,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.8832,0.0268,157.106,0.5036,5.2744,149.5547,31.0713,0.3488,0.0532,13.685,2.2988,6.9248,2.2334,3.2924,1.8006,0.1335,0.0456,61.7116,2.653724450470718
nwis_01646000,2016,"DIFFICULT RUN NEAR GREAT FALLS, VA",USGS (Powell Center),38.97594346,-77.24581439,"NAD83",150.94,"NAVD88",ST,4509202,02,306,1,91.73644608991003,-279.97288602439625,12.503296183946398,5.218167416407378,14.03,0.33,-0.03,-0.01,1.36,204.05308885085816,0.823,1.65,0.54,0.54,0.39,0.4,92.52376531511095,0.197,34.16,0.26,0.03,-0.01,1.14,181.63121160291968,0.237,2.82,0.42,0.12,-0.13,1.38,202.85057928719468,0.829,0.427872931548299,85.67040264764975,25,14.630400000000002,783.8,0.442801404179012,16.3977835179825,0.137198595820988,0.142527950026813,0.42,95,50,95,0.021132279,70595077,221.4694571,2.038,452,2.929,91,56,118,24,18,92,126,125,0,16,65,120,174,220,245,236,198,134,78,23,1019,1020,70,69,84,79,99,92,94,100,91,79,84,79,90,90,2,0,0,100,66,1,1,274.666,842.327,5429,6891,950,25,81,29.90587748,4,forested,Virginia,VA,0.101387,4,200023879,0,02070008000278,1.0782,150.8202,1.282,0.02495319,1.282,0,5264,2065,0.10932,149.85132,0.993575926832082,106.6927,1072.4700958469998,-4.227115726674607,18.700464628964355,12.976648866210894,404.1377,14.35,14.43,14.59,13.63,14.73,14.99,14.83,14.18,0.52,0,29.98,17.17,7.85,2.43,0.04,27.71,0.21,7.75,0.51,0.25,1.83,0,3.72,0.02,0.5,0,29.95,17.29,8.04,2.5,0.04,27.37,0.21,7.8,0.38,0.43,1.73,0,3.73,0.02,343.4134,843.2407,630.5302,9.7992,4.4032,2.8262,38152.6095,16769.9734,34161.5113,15318.2932,0.0663,0.0066,0.0066,0.0199,7.111,0.0464,0,98.65,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.8832,0.0268,157.106,0.5036,5.2744,149.5547,31.0713,0.3488,0.0532,13.685,2.2988,6.9248,2.2334,3.2924,1.8006,0.1335,0.0456,61.7116,2.653724450470718
nwis_01646305,2012,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center),38.95977716,-77.1756743,"NAD83",177.18,"NAVD88",ST,4508904,02,234,1,84.37840474843908,-175.456330008742,12.724342458962399,2.5127644847135695,14.97,0.22,0.06,0.01,1.29,195.37061131566512,0.783,0.03,0.44,0.5,0.53,0.12,75.36946935277359,-0.006,34.77,0.26,0.01,-0.01,1.19,173.98572878578975,0.199,2.81,0.4,0.09,-0.15,1.38,185.93320844342114,0.837,0.562682455399652,18.709211168148883,24,2.80416,533.3199999999999,0.435722575401237,5.18737002634855,0.174277424598763,0.342601608632242,0.39,95,95,95,0.003876704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397962599,4,forested,Virginia,VA,0.75037,1,200124919,1,02070008001427,6.9642,6.9642,4.35,0.01566087,4.199,0,7987,1411,5.22573,5.22573,0.7503704660980444,81.5411,1095.2867493318686,-3.9197338503101578,19.021759757947788,13.492979860170584,404.252,18.21,18.25,18.42,17.89,18.63,19.37,18.93,18.11,0,0,31.17,29.27,8.5,1.63,0.06,19.15,0.16,8.66,0.05,0.04,1.06,0,0.25,0,0,0,30.87,29.57,9.11,1.68,0.06,18.4,0.09,8.63,0,0.27,1.06,0,0.25,0,417.1138,1011.0694,630.8377,9.7905,4.4056,2.8316,0,0,0,0,0,0,0,0,8.7111,0,0,22.2,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469,0.516,0.0156,166.3734,0.3987,5.7174,147.5312,36.2022,0.2484,0.0339,14.4507,3.0608,6.9174,2.2507,3.0558,1.7892,0.1403,0.0454,60.3569,2.7094157835505293
nwis_01646305,2013,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center),38.95977716,-77.1756743,"NAD83",177.18,"NAVD88",ST,4508904,02,307,1,74.68380933906106,-180.08646705929323,12.0355650867312,2.6456893610681678,13.05,0.31,-0.01,-0.04,1.35,201.26264105037305,0.8,0.05,0.57,0.65,0.57,0.04,86.7298120382799,0.182,32.97,0.28,0.03,0,1.16,175.048174176633,0.137,2.7,0.42,0.07,-0.19,1.36,192.4853081522833,0.862,0.562682455399652,18.709211168148883,24,2.80416,533.3199999999999,0.435722575401237,5.18737002634855,0.174277424598763,0.342601608632242,0.39,95,95,95,0.003876704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397962599,4,forested,Virginia,VA,0.75037,1,200124919,1,02070008001427,6.9642,6.9642,4.35,0.01566087,4.199,0,7987,1411,5.22573,5.22573,0.7503704660980444,81.5411,1095.2867493318686,-3.9197338503101578,19.021759757947788,13.492979860170584,404.252,18.21,18.25,18.42,17.89,18.63,19.37,18.93,18.11,0,0,31.17,29.27,8.5,1.63,0.06,19.15,0.16,8.66,0.05,0.04,1.06,0,0.25,0,0,0,30.87,29.57,9.11,1.68,0.06,18.4,0.09,8.63,0,0.27,1.06,0,0.25,0,417.1138,1011.0694,630.8377,9.7905,4.4056,2.8316,0,0,0,0,0,0,0,0,8.7111,0,0,22.2,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469,0.516,0.0156,166.3734,0.3987,5.7174,147.5312,36.2022,0.2484,0.0339,14.4507,3.0608,6.9174,2.2507,3.0558,1.7892,0.1403,0.0454,60.3569,2.7094157835505293
nwis_01646305,2014,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center),38.95977716,-77.1756743,"NAD83",177.18,"NAVD88",ST,4508904,02,298,1,79.90597159776912,-179.78030918384906,12.2096261296296,2.8856167770912675,12.55,0.32,-0.04,-0.06,1.37,203.5885192580169,0.751,0.07,0.54,0.69,0.59,0.23,127.6107470634871,0.049,33.45,0.28,0.01,0.01,1.14,173.80162740011357,0.115,2.7,0.43,0.12,-0.19,1.34,199.794420302068,0.833,0.562682455399652,18.709211168148883,24,2.80416,533.3199999999999,0.435722575401237,5.18737002634855,0.174277424598763,0.342601608632242,0.39,95,95,95,0.003876704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397962599,4,forested,Virginia,VA,0.75037,1,200124919,1,02070008001427,6.9642,6.9642,4.35,0.01566087,4.199,0,7987,1411,5.22573,5.22573,0.7503704660980444,81.5411,1095.2867493318686,-3.9197338503101578,19.021759757947788,13.492979860170584,404.252,18.21,18.25,18.42,17.89,18.63,19.37,18.93,18.11,0,0,31.17,29.27,8.5,1.63,0.06,19.15,0.16,8.66,0.05,0.04,1.06,0,0.25,0,0,0,30.87,29.57,9.11,1.68,0.06,18.4,0.09,8.63,0,0.27,1.06,0,0.25,0,417.1138,1011.0694,630.8377,9.7905,4.4056,2.8316,0,0,0,0,0,0,0,0,8.7111,0,0,22.2,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469,0.516,0.0156,166.3734,0.3987,5.7174,147.5312,36.2022,0.2484,0.0339,14.4507,3.0608,6.9174,2.2507,3.0558,1.7892,0.1403,0.0454,60.3569,2.7094157835505293
nwis_01646305,2015,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center),38.95977716,-77.1756743,"NAD83",177.18,"NAVD88",ST,4508904,02,302,1,83.01068296264954,-174.95283526942643,12.3385902024168,2.7400829739095243,13.31,0.31,-0.1,-0.01,1.33,206.3301331566978,0.786,0.07,0.59,0.63,0.49,0.24,119.29244332909501,-0.117,33.8,0.28,0,-0.02,1.16,176.98651090056453,0.195,2.75,0.42,0.1,-0.18,1.37,197.10184219302613,0.851,0.562682455399652,18.709211168148883,24,2.80416,533.3199999999999,0.435722575401237,5.18737002634855,0.174277424598763,0.342601608632242,0.39,95,95,95,0.003876704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397962599,4,forested,Virginia,VA,0.75037,1,200124919,1,02070008001427,6.9642,6.9642,4.35,0.01566087,4.199,0,7987,1411,5.22573,5.22573,0.7503704660980444,81.5411,1095.2867493318686,-3.9197338503101578,19.021759757947788,13.492979860170584,404.252,18.21,18.25,18.42,17.89,18.63,19.37,18.93,18.11,0,0,31.17,29.27,8.5,1.63,0.06,19.15,0.16,8.66,0.05,0.04,1.06,0,0.25,0,0,0,30.87,29.57,9.11,1.68,0.06,18.4,0.09,8.63,0,0.27,1.06,0,0.25,0,417.1138,1011.0694,630.8377,9.7905,4.4056,2.8316,0,0,0,0,0,0,0,0,8.7111,0,0,22.2,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469,0.516,0.0156,166.3734,0.3987,5.7174,147.5312,36.2022,0.2484,0.0339,14.4507,3.0608,6.9174,2.2507,3.0558,1.7892,0.1403,0.0454,60.3569,2.7094157835505293
nwis_01646305,2016,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center),38.95977716,-77.1756743,"NAD83",177.18,"NAVD88",ST,4508904,02,315,1,67.48051124880244,-188.44227267676888,12.503296183946398,2.6220984898709117,13.94,0.31,-0.04,-0.01,1.35,206.2826861930742,0.789,0.07,0.61,0.64,0.46,0.22,101.24727693914936,0.155,34.16,0.26,0.03,-0.01,1.14,181.63121160291968,0.237,2.76,0.41,0.09,-0.15,1.38,197.46491964420196,0.831,0.562682455399652,18.709211168148883,24,2.80416,533.3199999999999,0.435722575401237,5.18737002634855,0.174277424598763,0.342601608632242,0.39,95,95,95,0.003876704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397962599,4,forested,Virginia,VA,0.75037,1,200124919,1,02070008001427,6.9642,6.9642,4.35,0.01566087,4.199,0,7987,1411,5.22573,5.22573,0.7503704660980444,81.5411,1095.2867493318686,-3.9197338503101578,19.021759757947788,13.492979860170584,404.252,18.21,18.25,18.42,17.89,18.63,19.37,18.93,18.11,0,0,31.17,29.27,8.5,1.63,0.06,19.15,0.16,8.66,0.05,0.04,1.06,0,0.25,0,0,0,30.87,29.57,9.11,1.68,0.06,18.4,0.09,8.63,0,0.27,1.06,0,0.25,0,417.1138,1011.0694,630.8377,9.7905,4.4056,2.8316,0,0,0,0,0,0,0,0,8.7111,0,0,22.2,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469,0.516,0.0156,166.3734,0.3987,5.7174,147.5312,36.2022,0.2484,0.0339,14.4507,3.0608,6.9174,2.2507,3.0558,1.7892,0.1403,0.0454,60.3569,2.7094157835505293
