Variable,estimate,se,t_val,p_val,Units,variable
Inorganic wet deposition of nitrogen (2008),-2.29E-11,0.022416709,-1.02E-09,0.999999999,kg N ha$^{-1}$ y$^{-1}$,Inorg_N_WetDep_kgNhayr_2008
Inorganic nitrogen fertilizer application,6.52E-11,0.021956424,2.97E-09,0.999999998,kg N ha$^{-1}$ y$^{-1}$,Inorg_N_fert_kgNhayr
Organic nitrogen fertilizer application,1.74E-10,0.023140197,7.54E-09,0.999999994,kg N ha$^{-1}$ y$^{-1}$,Org_N_fert_kgNhayr
Density of waste point sources,1.31E-11,0.020589245,6.36E-10,0.999999999,sources km$^{-2},Waste_point_srcs_perkm2
Dam density,-1.31E-10,0.021954737,-5.97E-09,0.999999995,dams km$^{-2},Dam_densityperkm2
Dam total volume,3.13E-11,0.02127009,1.47E-09,0.999999999,m$^3$ km$^{-2},Dam_total_vol_m3km2
Dam median volume,3.54E-11,0.021468115,1.65E-09,0.999999999,m$^3$ km$^{-2},Dam_normal_vol_m3km2
Water table depth,3.89E-11,0.022637527,1.72E-09,0.999999999,cm,WtDepWs
Percent organic matter content in soils,-1.81E-11,0.025010792,-7.23E-10,0.999999999,%,OmWs
Permeability of soils,-1.79E-11,0.025587756,-6.99E-10,0.999999999,cm h$^{-1}$,PermWs
Depth of soils to bedrock,-8.42E-11,0.022131854,-3.81E-09,0.999999997,cm,RckDepWs
Base flow index,2.60E-10,0.023170483,1.12E-08,0.999999991,,BFIWs
Lithological hydraulic conductivity,-2.59E-12,0.022738142,-1.14E-10,1,$\mu$m s$^{-1}$,HydrlCondWs
Lithological nitrogen content,-1.14E-10,0.022807774,-5.01E-09,0.999999996,%,NWs
Lithological aluminum content,5.35E-11,0.021095167,2.54E-09,0.999999998,%,Al2O3Ws
Lithological calcium content,-3.37E-11,0.021451842,-1.57E-09,0.999999999,%,CaOWs
Lithological calcium content,-3.37E-11,0.021451842,-1.57E-09,0.999999999,%,Fe2O3Ws
Lithological calcium content,-1.90E-11,0.023573735,-8.04E-10,0.999999999,%,CaOWs
Lithological calcium content,-1.90E-11,0.023573735,-8.04E-10,0.999999999,%,Fe2O3Ws
Lithological potassium content,1.08E-10,0.020539712,5.25E-09,0.999999996,%,K2OWs
Lithological magnesium content,-4.42E-11,0.021792998,-2.03E-09,0.999999998,%,MgOWs
Lithological sodium content,1.39E-10,0.022106628,6.31E-09,0.999999995,%,Na2OWs
Lithological phosporous content,-3.47E-11,0.022888695,-1.51E-09,0.999999999,%,P2O5Ws
Lithological sulfur content,6.75E-11,0.024457634,2.76E-09,0.999999998,%,SWs
Lithological silica content,3.13E-09,0.021553175,1.45E-07,0.999999884,%,SiO2Ws
IGBP Land Classification Type (2018),8.50E-12,0.021659766,3.93E-10,1,,IGBP_LC_Type1Class2018
Percent urban land cover,-6.52E-11,0.021584313,-3.02E-09,0.999999998,%,NLCD_PctUrban
Percent agricultural land cover,3.55E-11,0.022208226,1.60E-09,0.999999999,%,NLCD_PctAgriculture
Percent forest land cover,1.79E-11,0.022443771,7.96E-10,0.999999999,%,NLCD_PctForest
Percent barren land cover,1.11E-11,0.026882699,4.13E-10,1,%,NLCD_PctBarren
Percent open water land cover,-9.97E-11,0.024848307,-4.01E-09,0.999999997,%,NLCD_PctWater
Percent wetland land cover,-2.33E-12,0.022655177,-1.03E-10,1,%,NLCD_PctWetland
Percent grassland land cover,2.14E-11,0.022508411,9.53E-10,0.999999999,%,NLCD_PctGrassland
